id,source_account,destination_account,amount_minor,currency_src,currency_dst,timestamp,description
TX-000001,ACC_000791,ACC_000148,3736007,IDR,IDR,2025-09-16T10:28:31.427875+00:00Z,poc-tx
TX-000002,ACC_000674,ACC_000236,162972,USD,USD,2025-09-14T20:40:57.427917+00:00Z,poc-tx
TX-000003,ACC_000538,ACC_000514,3987292,IDR,SGD,2025-09-14T08:09:47.427939+00:00Z,poc-tx
TX-000004,ACC_000692,ACC_000755,336566,IDR,IDR,2025-09-12T06:18:59.427962+00:00Z,poc-tx
TX-000005,ACC_000143,ACC_000063,152182,USD,USD,2025-09-16T03:59:39.427973+00:00Z,poc-tx
TX-000006,ACC_000773,ACC_000857,16475,SGD,SGD,2025-09-16T05:50:06.427995+00:00Z,poc-tx
TX-000007,ACC_000829,ACC_000823,87544,SGD,SGD,2025-09-10T12:30:04.428020+00:00Z,poc-tx
TX-000008,ACC_000486,ACC_000704,50652,SGD,SGD,2025-09-14T20:14:44.428036+00:00Z,poc-tx
TX-000009,ACC_000249,ACC_000563,99721,SGD,SGD,2025-09-10T15:47:58.428049+00:00Z,poc-tx
TX-000010,ACC_000482,ACC_000211,21893,SGD,IDR,2025-09-11T04:03:55.428066+00:00Z,poc-tx
TX-000011,ACC_000560,ACC_000343,32174,USD,SGD,2025-09-14T11:34:18.428085+00:00Z,poc-tx
TX-000012,ACC_000528,ACC_000737,2994,SGD,SGD,2025-09-13T07:08:01.428102+00:00Z,poc-tx
TX-000013,ACC_000722,ACC_000713,3030037,IDR,IDR,2025-09-11T05:00:27.428123+00:00Z,poc-tx
TX-000014,ACC_000990,ACC_000760,4172733,IDR,IDR,2025-09-13T23:08:19.428151+00:00Z,poc-tx
TX-000015,ACC_000568,ACC_000931,142910,SGD,SGD,2025-09-10T00:59:31.428169+00:00Z,poc-tx
TX-000016,ACC_000447,ACC_000618,104548,USD,IDR,2025-09-09T13:52:12.428186+00:00Z,poc-tx
TX-000017,ACC_000901,ACC_000552,2399003,IDR,IDR,2025-09-12T15:55:41.428210+00:00Z,poc-tx
TX-000018,ACC_000338,ACC_000719,67474,SGD,SGD,2025-09-12T15:39:20.428223+00:00Z,poc-tx
TX-000019,ACC_000654,ACC_000204,2052,USD,USD,2025-09-16T05:50:49.428243+00:00Z,poc-tx
TX-000020,ACC_000258,ACC_000952,6870,USD,USD,2025-09-14T02:28:39.428255+00:00Z,poc-tx
TX-000021,ACC_000225,ACC_000867,24104,SGD,SGD,2025-09-11T22:42:52.428267+00:00Z,poc-tx
TX-000022,ACC_000294,ACC_000961,58877,SGD,SGD,2025-09-15T00:12:20.428279+00:00Z,poc-tx
TX-000023,ACC_000503,ACC_000483,1257625,IDR,IDR,2025-09-09T20:08:45.428296+00:00Z,poc-tx
TX-000024,ACC_000609,ACC_000239,10747,SGD,SGD,2025-09-13T19:38:29.428315+00:00Z,poc-tx
TX-000025,ACC_000974,ACC_000714,4841783,IDR,IDR,2025-09-13T09:40:43.428342+00:00Z,poc-tx
TX-000026,ACC_000596,ACC_000022,3574042,IDR,SGD,2025-09-11T01:40:09.428361+00:00Z,poc-tx
TX-000027,ACC_000078,ACC_000434,89626,SGD,SGD,2025-09-14T17:51:26.428369+00:00Z,poc-tx
TX-000028,ACC_000605,ACC_000667,90161,SGD,SGD,2025-09-15T14:55:11.428389+00:00Z,poc-tx
TX-000029,ACC_000040,ACC_000936,1775897,IDR,IDR,2025-09-12T06:11:31.428396+00:00Z,poc-tx
TX-000030,ACC_000279,ACC_000012,97029,USD,USD,2025-09-13T09:18:51.428409+00:00Z,poc-tx
TX-000031,ACC_000294,ACC_000529,3524,SGD,SGD,2025-09-13T20:38:37.428421+00:00Z,poc-tx
TX-000032,ACC_000918,ACC_000569,4489646,IDR,IDR,2025-09-15T08:28:36.428446+00:00Z,poc-tx
TX-000033,ACC_000496,ACC_000836,43702,SGD,SGD,2025-09-16T06:23:12.428467+00:00Z,poc-tx
TX-000034,ACC_000816,ACC_000856,1256407,IDR,USD,2025-09-10T03:41:41.428491+00:00Z,poc-tx
TX-000035,ACC_000379,ACC_000208,2443351,IDR,IDR,2025-09-11T17:21:39.428505+00:00Z,poc-tx
TX-000036,ACC_000150,ACC_000204,49686,SGD,SGD,2025-09-11T03:20:57.428515+00:00Z,poc-tx
TX-000037,ACC_000411,ACC_000155,3529843,IDR,USD,2025-09-10T22:17:18.428531+00:00Z,poc-tx
TX-000038,ACC_000171,ACC_000396,24521,USD,IDR,2025-09-10T01:35:26.428541+00:00Z,poc-tx
TX-000039,ACC_000735,ACC_000375,34722,USD,SGD,2025-09-15T07:22:17.428564+00:00Z,poc-tx
TX-000040,ACC_000963,ACC_000534,73953,USD,USD,2025-09-12T04:34:01.428590+00:00Z,poc-tx
TX-000041,ACC_000951,ACC_000400,39651,SGD,SGD,2025-09-10T00:21:31.428616+00:00Z,poc-tx
TX-000042,ACC_000504,ACC_000289,38219,SGD,SGD,2025-09-12T23:48:13.428633+00:00Z,poc-tx
TX-000043,ACC_000600,ACC_000059,142452,SGD,SGD,2025-09-14T02:21:31.428652+00:00Z,poc-tx
TX-000044,ACC_000818,ACC_000261,151012,USD,USD,2025-09-14T15:21:07.428675+00:00Z,poc-tx
TX-000045,ACC_000420,ACC_000227,51009,USD,SGD,2025-09-09T17:28:21.428690+00:00Z,poc-tx
TX-000046,ACC_000216,ACC_000007,136061,SGD,SGD,2025-09-12T00:56:45.428701+00:00Z,poc-tx
TX-000047,ACC_000316,ACC_000346,191040,USD,USD,2025-09-10T02:33:52.428715+00:00Z,poc-tx
TX-000048,ACC_000626,ACC_000400,2998205,IDR,IDR,2025-09-11T00:47:38.428734+00:00Z,poc-tx
TX-000049,ACC_000503,ACC_000804,4943316,IDR,SGD,2025-09-12T16:33:17.428760+00:00Z,poc-tx
TX-000050,ACC_000658,ACC_000774,3710628,IDR,IDR,2025-09-16T06:00:17.428786+00:00Z,poc-tx
TX-000051,ACC_000809,ACC_000504,1725368,IDR,IDR,2025-09-10T23:06:30.428815+00:00Z,poc-tx
TX-000052,ACC_000852,ACC_000128,567441,IDR,IDR,2025-09-10T07:30:32.428851+00:00Z,poc-tx
TX-000053,ACC_000023,ACC_000419,169306,USD,SGD,2025-09-14T10:47:09.428861+00:00Z,poc-tx
TX-000054,ACC_000438,ACC_000311,710931,IDR,IDR,2025-09-15T14:30:40.428877+00:00Z,poc-tx
TX-000055,ACC_000268,ACC_000908,44055,SGD,SGD,2025-09-14T15:56:48.428892+00:00Z,poc-tx
TX-000056,ACC_000048,ACC_000156,66954,SGD,SGD,2025-09-12T04:30:34.428900+00:00Z,poc-tx
TX-000057,ACC_000500,ACC_000588,2003715,IDR,IDR,2025-09-11T00:18:23.428928+00:00Z,poc-tx
TX-000058,ACC_000358,ACC_000535,41407,USD,USD,2025-09-13T18:26:58.428941+00:00Z,poc-tx
TX-000059,ACC_000785,ACC_000304,69585,SGD,SGD,2025-09-11T04:11:00.428963+00:00Z,poc-tx
TX-000060,ACC_000855,ACC_000759,33758,USD,USD,2025-09-11T17:19:11.428986+00:00Z,poc-tx
TX-000061,ACC_000724,ACC_000715,81636,USD,USD,2025-09-13T12:42:19.429007+00:00Z,poc-tx
TX-000062,ACC_000458,ACC_000563,18041,SGD,IDR,2025-09-16T11:21:16.429023+00:00Z,poc-tx
TX-000063,ACC_000860,ACC_000268,2510428,IDR,SGD,2025-09-11T13:26:35.429061+00:00Z,poc-tx
TX-000064,ACC_000494,ACC_000869,8647,SGD,IDR,2025-09-12T07:20:03.429077+00:00Z,poc-tx
TX-000065,ACC_000937,ACC_000826,3952498,IDR,IDR,2025-09-14T12:20:29.429103+00:00Z,poc-tx
TX-000066,ACC_000358,ACC_000850,188414,USD,USD,2025-09-15T00:40:31.429117+00:00Z,poc-tx
TX-000067,ACC_000089,ACC_000356,85820,USD,USD,2025-09-14T09:11:00.429126+00:00Z,poc-tx
TX-000068,ACC_000632,ACC_000881,133735,USD,USD,2025-09-15T00:37:41.429146+00:00Z,poc-tx
TX-000069,ACC_000646,ACC_000195,51755,USD,USD,2025-09-09T20:59:56.429164+00:00Z,poc-tx
TX-000070,ACC_000012,ACC_000791,2432552,IDR,SGD,2025-09-13T21:09:25.429171+00:00Z,poc-tx
TX-000071,ACC_000923,ACC_000204,116658,USD,USD,2025-09-15T21:12:43.429196+00:00Z,poc-tx
